"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"8877","heaterman",40.7,14.8,27,2202,177,0,163.11,0.07,0.82,40
"8878","heatison",50,25,4,6,0,NA,75,0,0.02,66.7
"8879","heatman100",65.3,18.1,72,5694,624,3.3,65.33,0.09,0.79,52.2
"8880","heavenlyaces",18.2,18.2,11,614,108,33.3,55.82,0.1,0.56,50
"8881","Heavy gpd",71.4,28.6,7,454,11,0,648.57,0.02,0.65,60
"8882","Heavyjr17",84.6,3.8,52,-12087,1112,4.8,-116.23,0.21,-2.32,23.8
"8883","hebedamoggie",34.4,3.1,32,247,309,0,15.44,0.1,0.08,25
"8884","Hebrew_Hammer",34.6,8.5,153,-2503,703,2.2,-32.72,0.05,-0.16,34.5
"8885","hebruhammer",49.8,12.6,207,3697,1888,6.4,35.72,0.09,0.18,41.9
"8886","hebuilder",41.4,9,111,-262,1153,0,61.15,0.1,-0.02,39
"8887","HEC1028",45.7,23.9,1303,-43736,15551,7.2,-39.81,0.12,-0.34,41.7
"8888","Heckler81",32.7,10,110,-12428,1230,4.3,-112.98,0.11,-1.13,48.5
"8889","Heckman",55.4,29.2,65,-5203,1608,0,-20.02,0.25,-0.8,40.6
"8890","HECYKA777",19,9.5,21,-1083,154,0,-103.14,0.07,-0.52,40
"8891","HedorFolz",43.1,18.6,188,-2264,1101,11.7,13.51,0.06,-0.12,47.8
"8892","Heel80",66.7,11.1,9,-10000,170,25,-1111.11,0.19,-11.11,16.7
"8893","Heeshung",37.5,25,8,8108,125,33.3,506.88,0.16,10.13,66.7
"8894","Heezy856",22.1,3.3,122,-1378,678,0,-22.59,0.06,-0.11,34.3
"8895","hef913",13.9,8.3,36,-2740,438,0,-76.11,0.12,-0.76,22.2
"8896","hef9139",33.3,22.8,162,-11338,1332,3.7,-139.98,0.08,-0.7,26.1
"8897","HefeWeisBier",20,12.9,255,-566,765,3.9,10.64,0.03,-0.02,31.7
"8898","Heffcon5",46.9,15.6,64,2223,554,4,69.47,0.09,0.35,40.9
"8899","hefoundkhigh",46.5,25.6,43,3237,725,0,37.65,0.17,0.75,26.7
"8900","hehanbing",37.8,9.8,82,3431,527,4,83.68,0.06,0.42,51.7
"8901","Hehateme13",100,0,2,-1500,30,0,-1500,0.15,-7.5,0
"8902","HeHateMe21",29.3,9.5,222,1457,2238,3.6,6.56,0.1,0.07,41.1
"8903","hehawdonk",0,0,1,0,0,NA,0,0,0,NA
"8904","Heidi62608",25,6.2,16,-3501,190,0,-218.81,0.12,-2.19,16.7
"8905","Heineken",100,50,2,0,0,NA,0,0,0,NA
"8906","Heinze1557",19,9.5,21,447,83,0,40.67,0.04,0.21,50
"8907","Heinze57",24.9,9.9,2595,-3974,16269,3.2,-2.37,0.06,-0.02,42.3
"8908","heinzenberg",25,25,4,-35,5,50,-87.5,0.01,-0.09,NA
"8909","heisenberg_89",28.2,20.4,58933,-379236,680078,6.9,-5.19,0.12,-0.06,39.9
"8910","heisenberg13",29.2,9.8,879,4592,5264,4.1,8.11,0.06,0.05,44
"8911","heisenberg78",23.1,17.4,4003,-85498,58303,7.2,-12.83,0.15,-0.21,39.8
"8912","heisenberg89",30.7,21.4,2277,33274,31285,8,-7,0.14,0.15,41.2
"8913","heisk",36.8,18.8,144,-16991,1133,3.8,-144.63,0.08,-1.18,43.5
"8914","heiskmoney",33.8,16,213,-13543,1498,5.1,-127.2,0.07,-0.64,45.3
"8915","hell94",39.5,7.9,76,850,478,4,22.37,0.06,0.11,53.6
"8916","HELLBANSHEE",0,0,2,-50,10,0,-50,0.05,-0.25,NA
"8917","hellerrocks",47.6,18.2,494,-1036,4636,6.2,5.84,0.09,-0.02,46.2
"8918","hellerrocks1",47,19.2,1356,20901,11685,4.7,10.17,0.09,0.15,45.1
"8919","hellerrocks99",41.8,16.4,67,1177,513,8.3,35.13,0.08,0.18,34.8
"8920","hellfish72sa",0,0,9,0,41,0,0,0.05,0,NA
"8921","hellmutt",33.3,0,9,158,38,0,35.11,0.04,0.18,50
"8922","hellofriend",33.3,29.2,24,3488,189,0,29.08,0.08,1.45,100
"8923","HelloJay613",52.4,23.8,63,8974,1038,22.7,142.44,0.16,1.42,29.6
"8924","hellory",36.5,19.1,951,1956,6636,5.8,18.9,0.07,0.02,30.4
"8925","HellRaiZeR33",52.2,26.1,23,5010,268,12.5,217.83,0.12,2.18,80
"8926","Hells_Bells",23,17.2,2082,61719,41762,8.1,10.85,0.2,0.3,44.4
"8927","hellskitchen",33.3,11.1,9,-30,3,0,-16.67,0,-0.03,0
"8928","hellzangel23",66.2,0.6,160,-6332,1493,0,-75.89,0.09,-0.4,27
"8929","helmdog",41,0.5,188,-28576,2334,0,-102.6,0.12,-1.52,28.8
"8930","helzkitchen",30.2,20.1,159,-8335,762,3.9,-173.13,0.05,-0.52,38.6
"8931","hema_2000",60,20,5,225,14,0,90,0.03,0.45,33.3
"8932","hema2000",64.1,10.3,39,-634,301,0,-32.51,0.08,-0.16,59.1
"8933","HeMan33",17.5,0.8,257,226,2588,1.3,2.02,0.1,0.01,38
"8934","HeMan84",48.4,19,337,-29121,4663,3.2,-89.9,0.14,-0.86,38.5
"8935","hemdog",65.4,38.5,26,-6275,349,28.6,-482.69,0.13,-2.41,46.7
"8936","HEMI-ACE-",25.1,6.1,1044,2150,5996,0.3,4.12,0.06,0.02,40.5
"8937","hemicuda71",25,0,4,-4,3,NA,-50,0.01,-0.01,50
"8938","hemihaha",19.8,1.7,177,2606,710,0,29.68,0.04,0.15,47.6
"8939","hemihaha06",18.3,1.3,712,3192,4704,1.3,6.12,0.07,0.04,36.1
"8940","hemykatz",52.8,1.8,163,-11243,1593,0,-87.17,0.1,-0.69,29.5
"8941","henderm3",44.2,14.7,532,-14492,4170,3.4,-54.48,0.08,-0.27,37.7
"8942","hendo",55.7,2.4,246,2753,1966,2,22.38,0.08,0.11,38
"8943","hendrix",53.8,7.7,13,520,110,0,80,0.08,0.4,28.6
"8944","Henevernota",54,9.8,389,-19495,3429,5.3,-82.95,0.09,-0.5,38.4
"8945","Henroc77",21.3,4.3,94,1854,429,0,39.45,0.05,0.2,50
"8946","Henry",59.5,0,37,-12185,505,0,-395.14,0.14,-3.29,17.4
"8947","Henry88",48.8,11.7,445,26925,4164,5,38.94,0.09,0.61,39.4
"8948","Henryc",51.2,16.5,684,-36959,5471,6.9,-90.4,0.08,-0.54,40.8
"8949","HenryFrancis",30.2,19.1,162,6016,914,6.8,74.27,0.06,0.37,45.5
"8950","HenryIam",29.3,22.3,9688,-266781,189804,10.2,-7.45,0.2,-0.28,50.5
"8951","henrymckay",61.3,8.9,124,-7350,1601,0,-85.78,0.13,-0.59,23.4
"8952","henrymiller",27.8,22.2,18,-14224,310,0,-790.22,0.17,-7.9,20
"8953","henrythe8th",25.4,1.5,548,-2351,2942,0.7,-8.58,0.05,-0.04,29.9
"8954","Henster",50,38.9,18,-2357,200,50,-261.89,0.11,-1.31,50
"8955","Heracles",54.3,37.1,35,11273,595,18.2,80.51,0.17,3.22,63.6
"8956","heraklinos",8.3,0,12,531,21,0,44.25,0.02,0.44,100
"8957","herbalist1",25.4,5.1,59,-1238,454,0,-88.44,0.08,-0.21,46.2
"8958","herbington",39.6,21.9,96,914,730,4,19.04,0.08,0.1,30
"8959","Herbington24",37.2,20.8,269,15,1634,10.9,-9.3,0.06,0,37.2
"8960","herbish86",24.2,17.7,62,3855,638,5.9,124.35,0.1,0.62,38.9
"8961","herbs23",26.8,15.5,71,4875,682,4.3,137.32,0.1,0.69,43.8
"8962","herbtats23",28.5,4.8,1536,-8223,11123,2.8,-8.09,0.07,-0.05,37.1
"8963","Herc13",64,12,25,256,290,0,20.48,0.12,0.1,37.5
"8964","HerClyde",21.1,10.5,19,8610,169,16.7,453.16,0.09,4.53,66.7
"8965","herclyde11",43,24.6,114,1380,887,3.7,24.21,0.08,0.12,39.5
"8966","here2stay27",39.4,14.4,132,9717,1900,4.5,7.82,0.14,0.74,35.7
"8967","here2win08",42.9,19,21,2242,149,0,395.9,0.07,1.07,57.1
"8968","hereandthere",42.9,4.8,21,-1637,237,25,-155.9,0.11,-0.78,50
"8969","HereComeThePain",46,9.7,113,-839,1212,5.6,-54.05,0.11,-0.07,39.2
"8970","Heres_Starks",45.9,24,2532,-72150,51272,7.6,-6.79,0.2,-0.28,37.8
"8971","HeresJD",20,10,10,1160,102,0,232,0.1,1.16,33.3
"8972","heresjohnny",57,12.9,93,24060,2017,4.9,204.89,0.22,2.59,39.2
"8973","heretowin",73.1,19.2,26,-1343,341,9.1,-51.65,0.13,-0.52,52.6
"8974","herewego1946",77.8,55.6,9,-4257,109,25,-1576.67,0.12,-4.73,14.3
"8975","hergqtceag",36.2,8.3,2541,-24002,18968,2.5,-25.41,0.07,-0.09,41
"8976","herknj",10.5,0,38,-218,27,0,-57.37,0.01,-0.06,40
"8977","herkojerko",29.5,1.4,3721,-17930,26561,1.5,-9.57,0.07,-0.05,36.1
"8978","herkojerko1",29.2,1.8,113,-4432,772,2.2,-78.44,0.07,-0.39,34.4
"8979","herkojerko2",34.6,3.8,26,-121,114,0,-15.54,0.04,-0.05,40
"8980","Hermanosal3",50.3,9.7,165,-3953,1223,0,-47.92,0.07,-0.24,50.5
"8981","hermes",48.6,8.7,484,-43280,5808,3.8,-85.58,0.12,-0.89,32.5
"8982","Hero",22.5,16.4,28177,445209,336416,5.7,6.5,0.12,0.16,41.3
"8983","hero1",20.4,17.3,6646,-17953,40998,7.9,-4.36,0.06,-0.03,43.5
"8984","hero1126",37.1,9.5,116,3186,382,2.8,52.78,0.03,0.27,44.4
"8985","Hero198",52.6,17.3,156,-80,2258,6,-0.51,0.14,-0.01,50
"8986","herobrian",28.7,21.6,2923,-135608,28746,7.2,-40.75,0.1,-0.46,40.7
"8987","Herobrian99",25.9,18.2,324,-9281,2056,6.8,-57.29,0.06,-0.29,46.8
"8988","herobuckyray99",35.1,19.1,131,-41260,2313,8.9,-77.89,0.18,-3.15,40.6
"8989","herocalls20",29.9,20.2,1474,-61293,11686,7.7,-54.02,0.08,-0.42,47.8
"8990","Herocalls20",33.7,16.2,519,-8939,5282,4.3,-36.96,0.1,-0.17,53.6
"8991","herringbone",44.4,13.9,36,-3846,334,0,-213.67,0.09,-1.07,29.4
"8992","herro",22.7,17.2,203,-2322,2470,7.7,-38.42,0.12,-0.11,29.7
"8993","Herrsch09",44.2,13.5,52,-6960,1046,0,-80.44,0.2,-1.34,42.9
"8994","herzog",44.9,7.9,265,-13843,1715,1,-104.48,0.06,-0.52,37.6
"8995","Hesperidean",67.9,13.4,112,-9912,999,2.9,-177,0.09,-0.88,25
"8996","hesstrucka",34.9,1.5,5641,-265720,65793,1.4,-46.83,0.12,-0.47,35.5
"8997","hesstruckusa",40.7,2.2,2698,-94929,23913,0.6,-34.77,0.09,-0.35,37.7
"8998","hex1986",38.5,0,26,-12,182,0,-0.92,0.07,0,18.2
"8999","Hexcrafter",31.7,20.6,126,7776,840,6.8,54.64,0.07,0.62,48.3
"9000","heycheero",50,10,20,-1452,219,0,-198.45,0.11,-0.73,22.2
"9001","heychuck",25.2,18.2,369,-6873,1949,9.1,-37.25,0.05,-0.19,35.4
"9002","heymike88",44.4,19.6,698,-23849,7392,9,-28.83,0.11,-0.34,42
"9003","heynow1025",27.3,9.3,560,-20564,5241,0.5,-12.01,0.09,-0.37,50.7
"9004","heynowman",45.7,26,258,-16080,3214,5.1,-36.56,0.12,-0.62,36.5
"9005","HeySupHello",46.7,13.3,15,-5538,146,0,-738.4,0.1,-3.69,28.6
"9006","Hfvhh602",39,10.3,1309,-88680,13865,0.9,-63.94,0.11,-0.68,39.7
"9007","hh456160",66.7,0,3,-1600,34,0,-533.33,0.11,-5.33,0
"9008","hhheeerrrbbb",58.1,4.3,93,-4538,772,0,-39.61,0.08,-0.49,38.6
"9009","hhhzzz420",23.1,1.8,342,4078,2556,2.2,44.37,0.07,0.12,32.1
"9010","hhx321",61.7,10.6,47,-4244,301,6.7,-180.6,0.06,-0.9,50
"9011","Hi Im Trump",23.7,18.2,5210,-32428,30843,7.9,-6.24,0.06,-0.06,41.5
"9012","hibytime215",77.5,17.5,40,9608,591,7.7,336.93,0.15,2.4,50
"9013","hicklife82",52.5,5,40,-2045,291,7.1,-102.25,0.07,-0.51,50
"9014","HickoryOaks2",71.6,2.7,74,-3587,681,0,-72.03,0.09,-0.48,50
"9015","hicks1784",33.8,21.1,944,22149,6171,4.6,46.93,0.07,0.23,41.3
"9016","hidan",61.9,19,21,-5767,240,12.5,-549.24,0.11,-2.75,36.4
"9017","higgy1020",20,12.1,4187,5200,27810,5.5,0.74,0.07,0.01,36.5
"9018","Highball",46.7,10,30,5223,217,0,348.2,0.07,1.74,53.3
"9019","highbury0413",55,8.9,202,440,3789,4.9,-21.78,0.19,0.02,35.5
"9020","highcard",35.1,15.5,1313,-54537,9686,4.2,-64.21,0.07,-0.42,36.5
"9021","higherbeing3",55.4,20.3,148,-769,970,8.7,-10.39,0.07,-0.05,45.1
"9022","HigherPrimate",44.4,0,9,444,74,0,49.33,0.08,0.49,50
"9023","highfinance22",77.2,8.4,549,1197,4660,4.2,4.36,0.08,0.02,37.8
"9024","Highguy",35,15.3,366,31075,5387,2.7,30.2,0.15,0.85,41.2
"9025","highguy44",0,0,2,0,0,NA,0,0,0,NA
"9026","HighHopes",52.7,27.5,657,-22199,10099,4.2,-24.45,0.15,-0.34,42.6
"9027","highiron88",46.1,0.6,165,7418,1458,0,-3.87,0.09,0.45,56.9
"9028","highkick",25.5,20,3338,-62491,30619,8.7,-18.16,0.09,-0.19,43.8
"9029","HighRollinSteve",33.3,0,18,5518,172,0,607.06,0.1,3.07,25
"9030","highsmen",61.8,26.5,34,-10987,368,8.3,-646.29,0.11,-3.23,30
"9031","highsociety1",16,6.7,1795,19481,11695,2.3,21.71,0.07,0.11,38.3
"9032","highstake616",27.7,7.7,65,-10189,388,4,-313.51,0.06,-1.57,40
"9033","HiGHSTEAK609",22.3,14.5,1102,-31351,5610,4,-0.27,0.05,-0.28,42.4
"9034","HiGHSTEAKz",38.5,12.8,39,15417,463,8.3,560.54,0.12,3.95,43.8
"9035","highstream",39.6,12,900,-56000,10879,3.9,-84.75,0.12,-0.62,44.6
"9036","HighTourney27",42.2,14.3,1416,-32928,12543,4,-11.44,0.09,-0.23,42.1
"9037","hightroller0",22.8,17.5,114,-5217,289,13.5,-152.54,0.03,-0.46,35
"9038","hiho17",24.7,11.9,219,5494,1248,3.3,41.11,0.06,0.25,36.7
"9039","hillside",48.6,12.2,74,-1619,648,0,-21.88,0.09,-0.22,41.9
"9040","hillside130",61.3,8.2,194,-10315,2059,2.9,-42.82,0.11,-0.53,30.2
"9041","hilltop",37.9,12.4,153,1689,1532,7,21.91,0.1,0.11,44
"9042","hillz44",44.4,3.7,27,-13,333,0,-0.96,0.12,0,50
"9043","hilm420",45.2,14.6,710,-45522,5317,4,-128.2,0.07,-0.64,33.5
"9044","hilomelko",0,0,5,-250,135,0,-50,0.27,-0.5,0
"9045","hilowking69",0,0,2,-100,0,NA,-50,0,-0.5,NA
"9046","HiLowYo",40.7,18.4,3418,11686,42920,6,5.06,0.13,0.03,48.6
"9047","himmel706",17.6,2.5,32296,-95816,250932,1.8,-5.7,0.08,-0.03,39.1
"9048","Hinduaprincess",52.9,4.3,140,5897,797,4.1,79.91,0.06,0.42,35.1
"9049","Hines57",43.3,11.7,1075,-183709,20001,1.3,-88,0.19,-1.71,34.1
"9050","hink9",40.3,10.4,288,-5216,2809,0,-25.06,0.1,-0.18,41
"9051","Hink9432",40,14.3,998,-2950,3898,4.5,-10.52,0.04,-0.03,40.2
"9052","hiphopnj",67.1,11.4,79,3852,1211,0,97.52,0.15,0.49,31.5
"9053","hippodrome",37,22.2,27,-5000,139,27.3,-185.19,0.05,-1.85,33.3
"9054","Hippotime",53.8,23.1,26,-4460,210,11.1,-171.54,0.08,-1.72,36.4
"9055","hippowine",47.9,26.8,4408,-75660,53574,15.6,-35.67,0.12,-0.17,47.6
"9056","hirags",56.2,10,80,14319,1847,3.6,89.5,0.23,1.79,27.9
"9057","Hisaru",35.1,21.6,37,4332,204,20,390.3,0.06,1.17,41.7
"9058","histrionics",31.8,11.4,44,-3416,450,0,-155.27,0.1,-0.78,30.8
"9059","hitbyabuss",48.6,14.4,834,-44080,7897,3,-59.21,0.09,-0.53,35.3
"9060","Hitch",69.1,1,298,-41811,5155,0.9,-158.44,0.17,-1.4,41.5
"9061","HitChaser",31.7,8.6,643,-217,3376,1.4,6.03,0.05,0,37.2
"9062","Hithere",34.1,19.8,91,-14743,899,0,-132.03,0.1,-1.62,32.1
"9063","Hitman627",34.3,9.6,2635,16439,27347,2.5,8.62,0.1,0.06,43.3
"9064","hitmanjbw21",49.2,6.8,118,5684,1405,1.9,57.77,0.12,0.48,52.7
"9065","hitme1_time",53.7,15.3,339,9137,2803,8.3,53.91,0.08,0.27,38.4
"9066","hitmy1outer",25.5,20.3,546,-44067,7155,4.3,-93.32,0.13,-0.81,34.4
"9067","Hitmy1outer",32.2,25.1,941,-1095,9010,9.6,-0.81,0.1,-0.01,52.2
"9068","hittenyouoff2",72.7,36.4,11,-11226,249,0,-510.27,0.23,-10.21,37.5
"9069","HitTheBid",50.8,18.1,443,-38168,4640,3.6,-94.73,0.1,-0.86,38
"9070","HitX07",88.9,11.1,9,-2296,191,0,-510.22,0.21,-2.55,20
"9071","HitX12",58.9,1.6,1053,-37406,11592,2.9,-35.52,0.11,-0.36,36.7
"9072","hiwymi",26.7,16.7,90,2316,708,3.2,51.47,0.08,0.26,20
"9073","Hiyamaya",50,21.9,32,-14460,527,8.3,-451.88,0.16,-4.52,40
"9074","hjh135",70,40,10,1520,79,0,304,0.08,1.52,33.3
"9075","hjk12",44.4,33.3,9,365,154,0,81.11,0.17,0.41,33.3
"9076","HK1960",57.5,33.9,10941,-1132793,137345,14.1,-109.71,0.13,-1.04,44.3
"9077","hk6688",29.2,9.4,96,1741,460,0,40.27,0.05,0.18,50
"9078","hkakashi",50,0,6,-3578,60,0,-1192.67,0.1,-5.96,0
"9079","hkat1224",50,0,8,-2572,111,0,-321.5,0.14,-3.21,60
"9080","hkhandwala",41.2,9.8,102,-1698,565,0,-33.29,0.06,-0.17,51
"9081","hlkenlh",42.6,7.4,54,-1478,715,0,-27.37,0.13,-0.27,59.1
"9082","hls2000",40.6,18.8,69,-637,381,0,-18.46,0.06,-0.09,48
"9083","Hmatt77",31.4,18.2,159,13212,2115,7.7,93.07,0.13,0.83,41.4
"9084","hmbluebull",42.3,14.9,215,-6363,2072,1.2,-52.66,0.1,-0.3,45.7
"9085","hmk-4",22.7,15.9,44,12026,562,13.3,109.11,0.13,2.73,57.1
"9086","Hmmmmm",35.1,9.2,131,-19220,1215,7.3,-146.36,0.09,-1.47,30.2
"9087","Hmmrdwn519",0,0,2,-50,0,0,-25,0,-0.25,NA
"9088","HNJ8888",50,0,4,-650,24,0,-162.5,0.06,-1.62,0
"9089","hoagie nose",0,0,3,-15,2,NA,-16.67,0.01,-0.05,NA
"9090","hoagiestylez",59.9,22.4,147,12761,1435,19.2,173.62,0.1,0.87,54.4
"9091","hoangbros",48.8,17.1,41,910,594,0,179.07,0.14,0.22,38.1
"9092","hoangbros1",52,12,25,-5494,509,14.3,-109.88,0.2,-2.2,16.7
"9093","hoatle59",71.4,14.3,7,-20000,146,0,-2857.14,0.21,-28.57,14.3
"9094","Hoaxer",83.3,8.3,36,-5000,418,0,-277.78,0.12,-1.39,44
"9095","Hobini",0,0,2,0,5,0,0,0.02,0,NA
"9096","Hoboken100",100,100,2,1080,36,NA,270,0.18,5.4,50
"9097","hobokenru",75,17,112,-54400,2963,8.8,-135.12,0.26,-4.86,37.3
"9098","hobokensucks",56,12,25,-1116,159,0,-89.28,0.06,-0.45,20
"9099","hockey2",32.7,8.4,333,-53,2366,2.8,-0.32,0.07,0,33.6
"9100","hockeygoon",62.5,0,8,-704,109,0,-176,0.14,-0.88,25
"9101","hockeyNYR22",38,8.5,1572,36284,15798,2.8,22.88,0.1,0.23,38.5
"9102","hockeypops66",52.9,12.7,102,-542,699,3.6,-10.63,0.07,-0.05,45.5
"9103","hockeyrick15",0,0,1,-100,0,NA,-100,0,-1,NA
"9104","Hockeytenor",76.9,10.3,39,-37,316,7.1,-1.9,0.08,-0.01,46.7
"9105","hockieplayer",81.5,3.7,27,2448,299,0,181.33,0.11,0.91,22.7
"9106","Hockingj",22.2,22.2,9,-3129,87,NA,-84.11,0.1,-3.48,75
"9107","hockingjoe",31.2,6.2,16,-363,36,0,-75.62,0.02,-0.23,20
"9108","Hodges125",31,16.7,42,1277,259,5,30.4,0.06,0.3,55.6
"9109","hodges1389",40.8,4.2,71,-1785,755,0,-25.14,0.11,-0.25,48.1
"9110","HodorHodorHodor",34,24.3,259,31144,3716,13.3,47.07,0.14,1.2,45.7
"9111","HodorsHodors",42.6,13.6,176,8764,1713,7.5,49.8,0.1,0.5,35.8
"9112","HOF 53",43.1,11.3,742,-884,6059,5.7,-11.1,0.08,-0.01,35.3
"9113","hoffdaddy",29,25.8,31,-4160,244,30,-268.39,0.08,-1.34,33.3
"9114","Hoffdaddy390",22.5,14.1,71,2485,113,18.2,149.76,0.02,0.35,41.2
"9115","Hofferrrrr",43.5,4.3,23,-43,87,0,-3.74,0.04,-0.02,70
"9116","hoffmry",44.5,10.9,211,-2454,2442,4.3,-3.26,0.12,-0.12,31.9
"9117","hoffy77",35.1,10.8,37,-796,197,8.3,-43.03,0.05,-0.22,28.6
"9118","HofU2005",31,3.6,281,-508,2070,0,-22.99,0.07,-0.02,34.8
"9119","hogdogboy",100,0,1,-1895,33,NA,-3790,0.33,-18.95,0
"9120","hoggersuj",60,8,25,-1082,406,0,-43.28,0.16,-0.43,46.2
"9121","Hogweed",27,12.8,281,2374,2192,2.1,6.79,0.08,0.08,45.5
"9122","hoib1743",46.6,7.9,191,-32,1699,7,5.39,0.09,0,52.6
"9123","hojo4091",0,0,2,-1079,24,NA,-1079,0.12,-5.39,0
"9124","Hojo8570",40,15.3,85,-1392,363,9.7,-56.28,0.04,-0.16,40
"9125","Hokey994",25.5,6.4,47,-8921,571,0,-94.91,0.12,-1.9,27.3
"9126","HoLat",30,15.6,3332,-25878,31310,3.3,-6.44,0.09,-0.08,34.7
"9127","Hold1TimePls",30,10,10,12690,160,0,634.5,0.16,12.69,100
"9128","Holddeeznutz",33.3,0,6,-901,47,0,-150.17,0.08,-1.5,0
"9129","Holdemdanuts",33.3,7.8,192,2925,1303,0,28.74,0.07,0.15,40.4
"9130","holdemhero",40,30,10,725,47,50,145,0.05,0.72,50
"9131","HoldemNuts",39.6,13.4,523,-4484,5236,8.2,-4.81,0.1,-0.09,43.2
"9132","holdinmypair",37.4,25.3,99,-12863,1192,2.6,-129.93,0.12,-1.3,41.4
"9133","holdmyhand22",25,19,84,-4179,1040,3.8,-28.45,0.12,-0.5,41.2
"9134","holdncaul",17.5,10,160,-286,454,3.4,-3.58,0.03,-0.02,54.2
"9135","HoldTheBabyy",0,0,1,0,0,NA,0,0,0,NA
"9136","Hole2Feed",50,10,10,-9139,273,0,-457,0.27,-9.14,20
"9137","holla2mlo",22.5,14.9,276,-11082,3496,3.1,-41.25,0.13,-0.4,23.2
"9138","Hollason01",50,9.1,44,-4825,418,7.1,-109.66,0.09,-1.1,35.3
"9139","hollowman",49.1,15,234,429,1862,1.5,2.96,0.08,0.02,37.4
"9140","Hollowman4",37.8,10.8,37,1499,214,0,45.05,0.06,0.41,54.5
"9141","hollowman777",44.1,8.8,34,3636,243,0,213.88,0.07,1.07,38.5
"9142","hollywood_80",40.6,3.2,308,-8203,2614,0.9,-53.27,0.08,-0.27,37.9
"9143","hollywood26",55,12,100,-14145,1007,3.6,-187.38,0.1,-1.41,48.2
"9144","Hollywood711",43.1,10.8,555,-3582,9386,8,-30.45,0.17,-0.06,43.2
"9145","HollywoodBob",46.8,22.5,173,-3509,1432,13,-52.13,0.08,-0.2,37.1
"9146","HollywoodPoker",51.6,12.9,31,-1451,284,0,18.77,0.09,-0.47,37.5
"9147","Holmes Sr.",31.2,0,32,14,4,0,21.88,0,0,36.4
"9148","holy_roller",31.1,6,5590,-66560,38484,0.7,-20.84,0.07,-0.12,40.2
"9149","holyash",48.2,10.7,56,10427,455,5,186.2,0.08,1.86,39.3
"9150","HolyPotamoly",47.4,28.9,38,983,142,15.4,49.63,0.04,0.26,40
"9151","homayan33",28.6,28.6,7,86,2,0,614.29,0,0.12,100
"9152","homelesdegen",31.4,15.3,118,-7274,756,4.9,-123.29,0.06,-0.62,35.7
"9153","Homeless",35.6,23.1,104,-10503,1524,7.4,-70.31,0.15,-1.01,36.1
"9154","homelessdegen",27.8,14.3,790,14755,6265,3.9,15.88,0.08,0.19,43.3
"9155","homer2570",25.5,10.9,55,610,280,0,22.18,0.05,0.11,53.3
"9156","homer2680",59.4,0.7,138,6627,1531,0,20.43,0.11,0.48,44.9
"9157","Homerthedog",33,12.8,109,-15762,960,0,-144.61,0.09,-1.45,29
"9158","homesli",33.3,0,6,-677,18,0,-225.67,0.03,-1.13,0
"9159","homespot012",23.1,17.9,39,-1230,174,13.3,-63.08,0.04,-0.32,40
"9160","homiejon69",38.6,30.3,2101,-1892,16244,17.5,-3.25,0.08,-0.01,48.3
"9161","Honda2014",36.6,5.6,71,2315,537,0,65.21,0.08,0.33,28.1
"9162","honda22",30.5,15.7,223,12174,1599,9.2,111.2,0.07,0.55,53.6
"9163","hondacbr954",41.7,19.4,36,-3056,559,9.1,-157.31,0.16,-0.85,57.1
"9164","honest13",51.4,20,35,2649,466,25,240.66,0.13,0.76,63.2
"9165","HonestK",21.3,10.6,94,12726,1616,2.4,118.3,0.17,1.35,31.6
"9166","Honey222",53.3,13.3,15,3840,144,0,256,0.1,2.56,71.4
"9167","honey4455",29.5,11.6,916,37879,6706,2.5,55.64,0.07,0.41,56.6
"9168","honeybunch",27.1,8.8,1425,-17673,10496,3.2,-27.14,0.07,-0.12,34.6
"9169","HONOdog",20,10,10,-817,19,0,-817,0.02,-0.82,33.3
"9170","honoob",36.2,9.9,141,9242,1140,3.9,65.55,0.08,0.66,40.8
"9171","hoodini10",33.3,22.2,36,-9643,686,20,-133.92,0.19,-2.68,55.6
"9172","HoodP0PE",0,0,2,-100,0,0,-25,0,-0.5,NA
"9173","Hoodstark",52.8,1.9,53,-2601,421,0,-71.32,0.08,-0.49,25
"9174","hoofpro",43.3,9.2,240,-13555,2151,4.5,-44.9,0.09,-0.56,42.3
"9175","hookn001",73.2,16.1,56,-4558,760,7.1,-33.39,0.14,-0.81,30
"9176","Hooks0801",21,18.5,81,-7196,407,14.3,-77.3,0.05,-0.89,58.3
"9177","hooksy55",53.6,25,28,-5424,266,12.5,-193.71,0.1,-1.94,36.4
"9178","hooligan226",14,4.7,107,-101,478,0,-1.89,0.04,-0.01,61.1
"9179","HOOMAS103",28.6,14.3,7,-2336,107,0,-1334.86,0.15,-3.34,50
"9180","hooner",60.9,0,23,-4615,332,0,-164.65,0.14,-2.01,25
"9181","hoops886",32.1,22.4,165,-61184,2796,5.2,-118.05,0.17,-3.71,33.3
"9182","HoopsandFlops",39.4,17.4,465,15358,3146,5.6,66.06,0.07,0.33,45.6
"9183","HoopsDad",42.1,8.4,95,-4160,619,0,-72.71,0.07,-0.44,35.5
"9184","HoosierPark",45.5,27.3,11,-4000,164,20,-727.27,0.15,-3.64,25
"9185","Hoosiers87",37,15.2,46,-506,432,9.1,-14.26,0.09,-0.11,30.8
"9186","Hooter1112",0,0,2,-50,6,0,-25,0.03,-0.25,NA
