"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"29378","P8_237570NG",10.7,3.6,28,1610,500,0,28.79,0.18,0.57,80
"29379","P8_237671VC",0,0,2,100,5,NA,25,0.02,0.5,NA
"29380","P8_239016YW",33.3,33.3,3,484,120,0,80.67,0.4,1.61,100
"29381","P8_239438KN",28,4,25,-5940,201,0,-118.8,0.08,-2.38,14.3
"29382","P8_240517LM",38.5,38.5,13,-2765,179,0,-106.31,0.14,-2.13,25
"29383","P8_243246BP",0,0,8,0,52,0,0,0.06,0,NA
"29384","P8_243393WX",0,0,7,-100,151,0,-7.14,0.22,-0.14,NA
"29385","P8_244119HX",20,20,10,200,7,33.3,20,0.01,0.2,0
"29386","P8_244499YF",0,0,2,370,41,NA,92.5,0.2,1.85,100
"29387","P8_245239TS",61.5,15.4,13,1148,181,0,44.15,0.14,0.88,60
"29388","P8_247135IL",71.4,0,7,1875,95,0,134,0.14,2.68,75
"29389","P8_247372IQ",40,0,5,-1225,24,0,-122.6,0.05,-2.45,33.3
"29390","P8_247678FH",20,0,5,-300,47,0,-30,0.09,-0.6,0
"29391","P8_249880BA",50,0,6,-210,42,0,-35,0.07,-0.35,50
"29392","P8_250922EU",12.5,0,8,-700,73,0,-43.75,0.09,-0.88,0
"29393","P8_251258WC",18.6,8.5,59,-8475,852,5.3,-71.81,0.14,-1.44,40
"29394","P8_252243KD",50,0,4,-900,20,0,-112.5,0.05,-2.25,0
"29395","P8_252666FG",19,19,21,2110,234,0,50.24,0.11,1,50
"29396","P8_252999WW",41.7,0,12,-1625,111,0,-67.75,0.09,-1.35,25
"29397","P8_253171IP",21.4,14.3,14,2824,178,40,201.71,0.13,2.02,33.3
"29398","P8_253352KY",12.5,7.5,40,-3475,302,5.3,-43.42,0.08,-0.87,33.3
"29399","P8_254548UL",61.5,38.5,13,735,97,25,56.54,0.07,0.57,42.9
"29400","P8_255578DR",33.3,33.3,3,100,40,0,16.67,0.13,0.33,NA
"29401","P8_258700HE",40,15,20,6900,345,0,172.55,0.17,3.45,33.3
"29402","P8_258900IB",33.3,33.3,3,600,51,NA,50,0.17,2,NA
"29403","P8_260974ME",0,0,1,-50,0,0,-50,0,-0.5,NA
"29404","P8_262758JP",12.5,4.2,24,4130,180,12.5,172.08,0.08,1.72,100
"29405","P8_263166SJ",30,30,10,1415,181,0,70.8,0.18,1.42,66.7
"29406","P8_263763UP",52.6,5.3,19,-3000,148,0,-157.89,0.08,-1.58,20
"29407","P8_266326FC",25,25,4,525,17,0,65.75,0.04,1.31,100
"29408","P8_267290HM",38.6,13.2,114,1429,899,3.1,12.54,0.08,0.13,36.1
"29409","P8_269180MB",27.1,5.6,107,-43835,1494,6.8,-204.84,0.14,-4.1,40.7
"29410","P8_269764QK",15.2,9.1,33,-3125,182,8.3,-94.7,0.06,-0.95,20
"29411","P8_270871GA",42.9,0,7,-400,37,0,-57.14,0.05,-0.57,33.3
"29412","P8_271737OG",22.2,5.6,18,-875,177,0,-24.28,0.1,-0.49,25
"29413","P8_274061IK",0,0,11,165,221,0,7.55,0.2,0.15,100
"29414","P8_274156OU",0,0,1,-100,9,0,-50,0.09,-1,NA
"29415","P8_274195WU",11.1,0,27,-340,347,0,-6.3,0.13,-0.13,20
"29416","P8_274648FJ",18.8,12.5,16,-1900,177,0,-59.38,0.11,-1.19,0
"29417","P8_274696XK",31,12.1,58,-6170,678,5.9,-53.17,0.12,-1.06,42.9
